1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
U1:RADAR_POS_X,U2:RADAR_POS_Y,U3:RADAR_POS_Z,U4:TARGET_POS_X,U5:TARGET_POS_Y,U6:TARGET_POS_Z,U7:CMD_SPEED_X,U8:CMD_SPEED_Y,U9:CMD_SPEED_Z,U10:RADAR_SPD_X,U11:RADAR_SPD_Y,U12:RADAR_SPD_Z,U13:PHASE_em,FC_SEN_SPD_X,FC_SEN_SPD_Y,FC_SEN_SPD_Z,FC_SEN_DIST_DIR,U14:RADAR_YAW,U16:CMD_YAWDPS,Tick,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.361,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.361,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.361,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.361,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.361,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.361,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.361,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.371,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.371,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.371,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.371,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.381,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.381,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.381,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.381,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.381,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.381,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.381,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.391,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.391,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.391,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.391,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.401,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.401,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.401,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.401,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.401,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.401,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.401,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.411,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.411,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.411,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.411,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.421,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32768,0,0,0,106.421,
