length_x,length_y,cmd_raw_x,cmd_raw_y
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
0,-0,0,0
-6.12323399573677e-17,1,-6.21028985042401e-16,0.642173
-6.12323399573677e-17,1,-1.23387494140533e-15,0.650707
-6.12323399573677e-17,1,-1.84616092801925e-15,0.650096
-6.12323399573677e-17,1,-2.45847962494927e-15,0.6500192
-1.22464679914735e-16,2,-3.69183106903657e-15,0.79217684
-1.22464679914735e-16,2,-4.91700023686731e-15,0.800707768
1,2,0.642173000000001,0.8000961536
1,2,0.650707,0.80001923072
1,2,0.650096,0.800003846144
1,2,0.6500192,0.8000007692288
1,3,0.65000384,0.942903459630884
1,3,0.650000768,0.950665687334809
1,3,0.6500001536,0.950087278881103
1,4,0.65000003072,1.09219045577622
2,4,0.792173006144001,1.10071049115524
2,4,0.8007070012288,1.10009669823105
2,4,0.80009600024576,1.10001933964621
2,4,0.800019200049152,1.10000386792924
2,5,0.80000384000983,1.24217377358585
3,5,0.942173768001967,1.25070715471717
3,5,0.950707153600393,1.25009603094343
3,5,0.950096030720079,1.25001920618869
3,6,0.950019206144016,1.39217684123774
4,6,1.0921768412288,1.40070776824755
4,6,1.10070776824576,1.40009615364951
4,6,1.10009615364915,1.4000192307299
4,7,1.10001923072983,1.54217684614598
4,7,1.10000384614597,1.5507077692292
5,8,1.24217376922919,1.69226915384584
5,8,1.25070715384584,1.70072623076917
5,8,1.25009603076917,1.70009984615383
5,9,1.25001920615383,1.84219296923077
5,9,1.25000384123077,1.85071099384615
5,9,1.25000076824615,1.85009679876923
5,10,1.25000015364923,1.99219235975385
5,10,1.25000003072985,2.00071087195077
5,10,1.25000000614597,2.00009677439015
5,10,1.25000000122919,2.00001935487803
5,11,1.25000000024584,2.14217687097561
5,11,1.25000000004917,2.15070777419512
5,11,1.25000000000983,2.15009615483902
5,11,1.25000000000197,2.1500192309678
5,12,1.25000000000039,2.29217684619356
5,12,1.25000000000008,2.30070776923871
5,13,1.25000000000002,2.44226915384774
5,13,1.25,2.45072623076955
5,13,1.25,2.45009984615391
6,13,1.392173,2.45001996923078
6,13,1.400707,2.45000399384616
5,14,1.257923,2.59217379876923
