length_x,length_y,cmd_raw_x,cmd_raw_y
0,-0,0,0
1,1.22464679914735e-16,0.391373,7.45978044686219e-16
0,-0,0.40929000000012,7.48172244356266e-16
0,-0,0.294593999999996,7.34126035428751e-16
0,-0,0.299372799999999,7.34711269641128e-16
0,-0,0.29987456,7.34772717518922e-16
-1,-0,-0.391398088,7.3478500709448e-16
0,-0,-0.309179017600001,7.34787465009592e-16
0,-0,-0.29951800352,7.34787956592615e-16
0,-0,-0.299949000704,7.34788054909219e-16
0,-0,-0.2999898001408,7.3478807457254e-16
-1,-0,-0.39137096002816,7.34788078505204e-16
-1,-0,-0.400546592005632,7.34788079291737e-16
-1,-0,-0.400063918401126,7.34788079449043e-16
-1,-0,-0.400012783680225,7.34788079480505e-16
-1,-0,-0.400002556736045,7.34788079486797e-16
-2,-0,-0.491373511347208,7.34788079488056e-16
-2,-0,-0.500547102269442,7.34788079488307e-16
-2,-0,-0.500064020453888,7.34788079488358e-16
-2,1,-0.500012804090778,0.391373
-2,1,-0.500002560818156,0.400547
-2,1,-0.500000512163631,0.400064
-2,1,-0.500000102432726,0.4000128
-3,1,-0.591373020486547,0.40000256
-3,1,-0.600547004097309,0.400000512
-3,2,-0.600064000819462,0.491373102399999
-3,2,-0.600012800163892,0.50054702048
-3,1,-0.600002560032779,0.408691004096001
-3,1,-0.600000512006556,0.399486437182836
-3,2,-0.600000102401311,0.491311560163839
-3,2,-0.600000020480262,0.500534712032768
-3,2,-0.600000004096053,0.500061542406554
-4,2,-0.69137300081921,0.500012308481311
-4,2,-0.700547000163842,0.500002461696262
-4,2,-0.700064000032768,0.500000492339252
-4,2,-0.700012800006554,0.500000098467851
-4,2,-0.700002560001311,0.50000001969357
-4,2,-0.700000512000262,0.500000003938714
-4,2,-0.700000102400052,0.500000000787743
-4,2,-0.70000002048001,0.500000000157549
-4,3,-0.700000004096002,0.591373000031509
-4,3,-0.7000000008192,0.600547000006302
-4,3,-0.70000000016384,0.60006400000126
-4,3,-0.700000000032768,0.600012800000252
-4,4,-0.700000000006554,0.69137556000005
-4,4,-0.700000000001311,0.70054751200001
-5,4,-0.791373000000264,0.700064102400002
-5,4,-0.800547000000052,0.70001282048
-5,4,-0.80006400000001,0.700002564096
-5,5,-0.800012800000002,0.7913735128192
-5,4,-0.80000256,0.709174102563841
-5,5,-0.800000512,0.79089002051277
-6,5,-0.8913731024,0.800495804102553
-6,5,-0.90054702048,0.800053760820511
-6,6,-0.900064004096,0.891383752164102
-6,6,-0.9000128008192,0.90054915043282
-6,7,-0.90000256016384,0.991437430086566
-6,7,-0.900000512032768,1.00055988601731
-6,7,-0.900000102406554,1.00006657720346
-7,7,-0.991373020481311,1.00001331544069
-7,8,-1.00054700409626,1.09137566308814
-7,8,-1.00006400081925,1.10054753261763
-7,8,-1.00001280016385,1.10006410652353
-7,8,-1.00000256003277,1.10001282130471
-7,8,-1.00000051200655,1.10000256426094
-7,8,-1.00000010240131,1.10000051285219
-7,9,-1.00000002048026,1.19137310257044
-8,9,-1.09137300409605,1.20054702051409
-7,9,-1.00835033139772,1.20006400410282
-7,9,-0.999566727436569,1.20001280082056
-7,9,-0.999954618214587,1.20000256016411
-7,9,-0.999990923642917,1.20000051203282
-8,9,-1.09038460448167,1.20000010240656
-8,10,-1.10058448543057,1.29217605353916
-7,10,-1.00869803850025,1.30049727682354
-7,10,-0.999467207700051,1.30005818263743
-7,10,-0.99993884154001,1.30001163652749
-7,10,-0.999987768308002,1.3000023273055
-7,10,-0.9999975536616,1.3000004654611
-7,10,-0.99999951073232,1.30000009309222
-6,10,-0.908626902146465,1.30000001861844
-6,10,-0.899452980429293,1.30000000372369
